,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
32539,0,0,0,0,1,2,3,0,3,3,3,6,6,4,7,5,5,7,2,0,0,0,0,0,0,0,0,0,0,0,0,1,8,2,7,4,2,0,5,1,4,0,0,0,0,0,0,0
173079,0,0,3,9,8,10,11,4,9,13,9,11,11,10,5,6,7,3,5,3,0,1,0,0,0,0,1,2,3,5,1,1,3,2,2,6,5,9,6,4,5,4,4,1,1,0,0,0
23523,0,6,13,46,68,61,47,62,57,62,70,56,69,53,80,74,71,49,46,28,21,14,5,2,1,2,5,17,22,18,20,21,21,17,30,26,27,32,30,19,24,31,30,14,10,1,5,1
187788,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
229097,0,6,4,10,11,8,1,2,3,5,5,4,10,10,9,3,2,2,7,5,5,2,0,0,0,0,0,4,4,3,0,0,6,5,3,1,3,6,5,4,4,1,2,0,1,2,1,0
361114,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
308329,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
255164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,2,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
260889,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
90517,0,0,0,0,2,0,0,4,0,0,0,1,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
156761,0,0,0,0,0,0,0,0,0,2,0,4,1,0,4,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
274574,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
67092,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
