,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
210562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
166747,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,4,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,5,3,4,3,0,0,0
166937,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,1,1,1,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,2,0,0,2
518221,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
104478,0,0,0,0,0,0,0,0,0,0,1,5,3,2,0,1,0,0,1,2,0,2,1,2,0,1,0,0,0,0,0,0,0,0,0,2,2,3,1,1,1,0,1,1,1,1,0,0
384621,2,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,2,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,1
302723,0,0,0,0,0,0,0,0,1,1,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0
636180,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,0,0
67258,0,0,0,0,0,0,0,2,1,1,4,5,2,7,7,2,5,4,10,7,8,2,0,0,0,0,0,0,0,0,0,1,4,1,1,1,1,2,2,1,8,7,3,4,0,1,0,0
103468,0,0,0,0,0,0,1,3,4,2,2,2,2,2,4,4,2,3,2,2,7,4,3,3,0,0,0,0,0,0,0,1,3,0,0,2,0,1,2,0,1,3,0,1,1,1,4,0
547623,0,0,1,0,0,0,2,2,34,54,18,12,9,2,5,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
15530,0,0,0,0,0,0,0,0,1,0,1,3,1,2,0,2,3,0,4,1,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,1,2,1,1,0,0,0
291859,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
255898,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,2,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0
422954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
308833,0,0,0,0,0,0,0,0,0,0,0,1,4,2,0,1,3,4,1,6,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,2,0,0,1,0,0
184520,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,12,12,13,4,2,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,2,1,5,1,2,2,1
10190,12,9,8,26,66,111,129,121,155,144,151,141,110,123,118,118,119,114,123,151,166,123,102,39,5,7,8,8,18,16,42,39,37,57,68,57,56,44,59,58,42,29,45,63,70,73,29,19
17591,0,0,0,0,0,1,1,0,2,0,0,0,1,2,1,2,1,0,3,2,5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,1,0,1,0,1
800510,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
998011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
935055,0,0,0,0,0,0,0,0,0,2,0,1,1,0,1,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
303742,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0
434285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
46678,0,0,0,1,0,0,0,0,0,1,4,5,4,6,7,2,3,5,8,9,7,6,6,1,3,0,0,0,0,0,1,0,0,4,1,2,4,1,2,1,1,2,4,3,2,2,1,0
215480,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,4,2,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0
800624,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
800379,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
701174,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,2,1,1,1,0,2,1,0,0,0,0,0,0,0,1,1,0,2,1,0,1,2,0,4,1,4,3,0,2,0,1
344124,0,0,0,0,0,1,1,1,1,2,2,0,2,4,4,1,1,1,1,4,4,4,0,0,0,0,0,0,0,0,3,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0
33111,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,1,0,1
60722,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1
2735036,0,0,0,0,0,0,0,0,0,0,0,0,1,7,2,1,2,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,1,1,1,1,0,0,0
243520,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
73900,0,0,0,0,0,0,0,1,1,1,1,3,3,6,3,1,4,5,3,0,2,2,0,0,0,0,0,0,0,0,0,0,0,1,3,1,1,7,4,1,0,0,0,1,0,0,0,0
